STALPBR,YEAR,DEPSUMBR,ASSET,CERT,ID
WV,1994,27979,82739,10002,1994_10002_0
WV,1994,0,82739,10002,1994_10002_1
WV,1994,29996,82739,10002,1994_10002_2
WV,1994,17408,82739,10002,1994_10002_3
WV,1994,0,82739,10002,1994_10002_4
WV,1994,50429,74492,10003,1994_10003_0
WV,1994,17629,74492,10003,1994_10003_1
WI,1994,30536,60342,10004,1994_10004_0
WI,1994,22876,60342,10004,1994_10004_1
WI,1994,43276,51846,10006,1994_10006_0
WI,1994,32188,36242,10007,1994_10007_0
WI,1994,9976,19318,10008,1994_10008_0
WI,1994,7477,19318,10008,1994_10008_1
WI,1994,4268,26357,10011,1994_10011_0
WI,1994,19438,26357,10011,1994_10011_1
WI,1994,24657,33682,10012,1994_10012_0
WI,1994,5504,33682,10012,1994_10012_1
WI,1994,88207,256131,10013,1994_10013_0
WI,1994,0,256131,10013,1994_10013_1
WI,1994,47542,256131,10013,1994_10013_2
WI,1994,22894,256131,10013,1994_10013_3
WI,1994,23123,256131,10013,1994_10013_4
WI,1994,8810,256131,10013,1994_10013_5
WI,1994,0,256131,10013,1994_10013_6
WI,1994,11051,16509,10015,1994_10015_0
WI,1994,2385,16509,10015,1994_10015_1
WI,1994,13690,15524,10016,1994_10016_0
MI,1994,51570,72506,1001,1994_1001_0
MI,1994,12221,72506,1001,1994_1001_1
IL,1994,57335,98334,10025,1994_10025_0
IL,1994,3979,98334,10025,1994_10025_1
IL,1994,1281,98334,10025,1994_10025_3
IL,1994,10478,98334,10025,1994_10025_4
IL,1994,15600,98334,10025,1994_10025_5
PA,1994,23877,51748,10032,1994_10032_0
PA,1994,8345,51748,10032,1994_10032_1
PA,1994,2407,51748,10032,1994_10032_2
PA,1994,8398,51748,10032,1994_10032_3
WI,1994,58014,67821,10035,1994_10035_0
IL,1994,222382,304256,10036,1994_10036_0
IL,1994,56687,304256,10036,1994_10036_1
MI,1994,22076,181771,10037,1994_10037_0
MI,1994,51760,181771,10037,1994_10037_2
MI,1994,45848,181771,10037,1994_10037_3
MI,1994,13286,181771,10037,1994_10037_4
MI,1994,16211,181771,10037,1994_10037_6
MI,1994,8543,181771,10037,1994_10037_7
MI,1994,4048,181771,10037,1994_10037_8
MO,1994,60625,82075,10038,1994_10038_0
MO,1994,11510,82075,10038,1994_10038_2
MO,1994,4605,82075,10038,1994_10038_3
MI,1994,191494,523161,1003,1994_1003_0
MI,1994,6643,523161,1003,1994_1003_1
MI,1994,9275,523161,1003,1994_1003_10
MI,1994,6081,523161,1003,1994_1003_11
MI,1994,7285,523161,1003,1994_1003_12
MI,1994,7781,523161,1003,1994_1003_13
MI,1994,3076,523161,1003,1994_1003_15
MI,1994,24972,523161,1003,1994_1003_16
MI,1994,5436,523161,1003,1994_1003_17
MI,1994,5043,523161,1003,1994_1003_18
MI,1994,2708,523161,1003,1994_1003_19
MI,1994,53601,523161,1003,1994_1003_2
MI,1994,27023,523161,1003,1994_1003_3
MI,1994,18222,523161,1003,1994_1003_5
MI,1994,12709,523161,1003,1994_1003_6
MI,1994,40271,523161,1003,1994_1003_7
MI,1994,7777,523161,1003,1994_1003_9
IN,1994,42000,58371,10040,1994_10040_0
IN,1994,5989,58371,10040,1994_10040_1
IN,1994,0,58371,10040,1994_10040_2
WI,1994,226522,333175,10044,1994_10044_0
WI,1994,20080,333175,10044,1994_10044_1
WI,1994,10088,333175,10044,1994_10044_2
WI,1994,12752,333175,10044,1994_10044_3
WV,1994,32933,46711,10045,1994_10045_0
WV,1994,4837,46711,10045,1994_10045_1
WV,1994,5208,46711,10045,1994_10045_2
GA,1994,23849,29941,10052,1994_10052_0
GA,1994,43908,47601,10053,1994_10053_0
GA,1994,89183,100893,10054,1994_10054_0
GA,1994,160,100893,10054,1994_10054_1
GA,1994,0,100893,10054,1994_10054_2
GA,1994,16882,35633,10055,1994_10055_0
GA,1994,16467,35633,10055,1994_10055_1
GA,1994,8326,24566,10056,1994_10056_0
GA,1994,11628,24566,10056,1994_10056_1
GA,1994,44990,52334,10057,1994_10057_0
GA,1994,48476,183791,10059,1994_10059_0
GA,1994,37904,183791,10059,1994_10059_1
GA,1994,33328,183791,10059,1994_10059_2
GA,1994,31782,183791,10059,1994_10059_3
MI,1994,105200,254382,1005,1994_1005_0
MI,1994,0,254382,1005,1994_1005_1
